#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.15 1.2704519e+10 1.7668416e-18 -5.2855828e-19 285.17671 -79678.977 266347.42
0.15 1.2700325e+10 3.235108e-18 -8.4402686e-19 521.81727 -127025.29 486880.88
0.15 1.2696131e+10 4.4505915e-18 -9.7183757e-19 717.3986 -146019.36 668704.87
0.15 1.2691937e+10 5.4274291e-18 -9.1926651e-19 874.27888 -137892.54 814129.51
0.15 1.2687743e+10 6.1853141e-18 -6.969117e-19 995.70461 -104366.1 926282.46
0.15 1.2683549e+10 6.8513954e-18 -3.7749796e-19 1102.2006 -56438.882 1024336.9
0.15 1.2679355e+10 7.5636973e-18 -4.0083753e-20 1215.9858 -5982.9317 1128963.3
0.15 1.2675162e+10 8.3283646e-18 3.1235873e-19 1338.0327 46545.849 1241043.6
0.15 1.2670968e+10 9.1245609e-18 6.9237476e-19 1464.9795 103003.01 1357440.1
0.15 1.2666774e+10 9.9605113e-18 1.0956543e-18 1598.1357 162728.42 1479351.9
0.15 1.266258e+10 1.0836866e-17 1.5221761e-18 1737.5932 225702.15 1606846.9
0.15 1.2658386e+10 1.1753419e-17 1.9723883e-18 1883.306 291973.81 1739865.5
0.15 1.2654192e+10 1.2711106e-17 2.4460968e-18 2035.4114 361497.72 1878517.6
0.15 1.2649998e+10 1.3710225e-17 2.9434667e-18 2193.9439 434281.43 2022817.5
0.15 1.2645804e+10 1.4751214e-17 3.4645671e-18 2358.9607 510318.22 2172800.6
0.15 1.2641611e+10 1.5834457e-17 4.0095178e-18 2530.5096 589608.82 2328493.3
0.15 1.2637417e+10 1.6960348e-17 4.5784567e-18 2708.6405 672156.53 2489923.9
0.15 1.2633223e+10 1.8129292e-17 5.1715412e-18 2893.4045 757967.45 2657121.5
0.15 1.2629029e+10 1.9341708e-17 5.7889477e-18 3084.8549 847050.3 2830117.1
0.15 1.2624835e+10 2.0598031e-17 6.4308707e-18 3283.0473 939416.38 3008943.7
0.15 1.2620641e+10 2.1898716e-17 7.0975236e-18 3488.0403 1035079.6 3193636.9
0.15 1.2616447e+10 2.3244245e-17 7.7891386e-18 3699.8968 1134056.3 3384235.9
0.15 1.2612253e+10 2.4635128e-17 8.5059645e-18 3918.6837 1236365.3 3580783.5
0.15 1.260806e+10 2.6071899e-17 9.2482693e-18 4144.4717 1342027.8 3783325.6
0.15 1.2603866e+10 2.7555123e-17 1.0016344e-17 4377.3361 1451068.3 3991912.1
0.15 1.2599672e+10 2.908539e-17 1.0810494e-17 4617.356 1563512.9 4206596.4
0.15 1.2595478e+10 3.0663271e-17 1.163101e-17 4864.6073 1679385.8 4427428.2
0.15 1.2591284e+10 3.228925e-17 1.2478149e-17 5119.1518 1798705.4 4654444.5
0.15 1.258709e+10 3.3963738e-17 1.3352117e-17 5381.0394 1921483.4 4887671.2
0.15 1.2582896e+10 3.5687136e-17 1.4253102e-17 5650.3186 2047728 5127132.9
0.15 1.2578702e+10 3.7459868e-17 1.5181316e-17 5927.041 2177451.1 5372856.6
0.15 1.2574509e+10 3.9282361e-17 1.6137e-17 6211.2588 2310668.8 5624869.8
0.15 1.2570315e+10 4.1155049e-17 1.7120371e-17 6503.0251 2447393 5883200.7
0.15 1.2566121e+10 4.3078333e-17 1.81316e-17 6802.3873 2587629.4 6147872.2
0.15 1.2561927e+10 4.5052449e-17 1.9170809e-17 7109.367 2731376.3 6418883.7
0.15 1.2557733e+10 4.707732e-17 2.023796e-17 7423.9361 2878609.6 6696189.7
0.15 1.2553539e+10 4.9152562e-17 2.1332795e-17 7746.0185 3029273.3 6979701.7
0.15 1.2549345e+10 5.1278114e-17 2.2455206e-17 8075.5885 3183333.8 7269376.7
0.15 1.2545151e+10 5.3456131e-17 2.3606416e-17 8412.9701 3340945.4 7565486.4
0.15 1.2540958e+10 5.5694018e-17 2.4790714e-17 8759.3111 3502694.9 7869041.4
0.15 1.2536764e+10 5.8006616e-17 2.6016651e-17 9116.9257 3669766 8182095
0.15 1.253257e+10 6.0414564e-17 2.7296069e-17 9489.032 3843798 8507502.6
0.15 1.2528376e+10 6.2937688e-17 2.8640362e-17 9878.7124 4026356.1 8847986.5
0.15 1.2524182e+10 6.5586662e-17 3.0055694e-17 10287.605 4218260.7 9204965.7
0.15 1.2519988e+10 6.8358886e-17 3.1540569e-17 10715.263 4419253.4 9577989.5
0.15 1.2515794e+10 7.1242036e-17 3.3087823e-17 11159.716 4628284.7 9965249.9
