#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.15 1.2696131e+10 4.0902461e-18 -7.779587e-19 659.3139 -116888.91 614562.69
0.15 1.2683549e+10 5.9760942e-18 6.2103502e-20 961.38877 9284.9567 893472.59
0.15 1.2670968e+10 8.1164921e-18 1.1139485e-18 1303.1306 165719.58 1207472
0.15 1.2658386e+10 1.0607946e-17 2.3386625e-18 1699.7615 346193.6 1570300.6
0.15 1.2645804e+10 1.3418794e-17 3.7726554e-18 2145.8849 555698.51 1976539.9
0.15 1.2633223e+10 1.6592577e-17 5.4089754e-18 2648.1474 792767.01 2431892.7
0.15 1.2620641e+10 2.0141871e-17 7.2577003e-18 3208.2089 1058439.2 2937424.3
0.15 1.260806e+10 2.4083487e-17 9.3258881e-18 3828.3874 1353291.2 3494784.6
0.15 1.2595478e+10 2.8432387e-17 1.1621191e-17 4510.6864 1677968 4105313.9
0.15 1.2582896e+10 3.3201914e-17 1.4150368e-17 5256.8351 2032968.3 4770083.6
0.15 1.2570315e+10 3.840194e-17 1.6918316e-17 6067.9986 2418508.7 5489637.9
0.15 1.2557733e+10 4.4040936e-17 1.9929206e-17 6945.1086 2834692.9 6264300.2
0.15 1.2545151e+10 5.0144752e-17 2.3197239e-17 7891.8225 3283035.8 7096836.7
0.15 1.253257e+10 5.6795858e-17 2.676939e-17 8920.6589 3769631.7 7997921.1
0.15 1.2519988e+10 6.4154127e-17 3.0737193e-17 10056.166 4306689.8 8988846.8
0.15 1.2507407e+10 7.2401541e-17 3.5205019e-17 11326.151 4907956.4 10093550
0.15 1.2494825e+10 8.1645385e-17 4.0234116e-17 12746.531 5580911.4 11325107
0.15 1.2482243e+10 9.1911964e-17 4.5838577e-17 14320.472 6326363.3 12685134
0.15 1.2469662e+10 1.0325524e-16 5.2048634e-17 16055.412 7147307.6 14178988
0.15 1.245708e+10 1.1582417e-16 5.8949172e-17 17973.461 8054132.5 15824874
0.15 1.2444498e+10 1.2978628e-16 6.663572e-17 20099.422 9058449.5 17643127
0.15 1.2431917e+10 1.4519159e-16 7.5136003e-17 22439.732 10162448 19637751
0.15 1.2419335e+10 1.6188944e-16 8.4361823e-17 24969.81 11352656 21785627
0.15 1.2406754e+10 1.7954594e-16 9.4119108e-17 27637.064 12601678 24039540
0.15 1.2394172e+10 1.9775735e-16 1.0417349e-16 30378.593 13877287 26343895
0.15 1.238159e+10 2.1617696e-16 1.1432362e-16 33140.745 15152277 28651762
0.15 1.2369009e+10 2.3458103e-16 1.2443936e-16 35889.11 16409375 30933364
0.15 1.2356427e+10 2.5290851e-16 1.3448474e-16 38614.397 17644011 33180870
0.15 1.2343845e+10 2.7129362e-16 1.4453674e-16 41337.151 18866459 35412105
0.15 1.2331264e+10 2.9000491e-16 1.5474993e-16 44098.166 20096859 37661974
0.15 1.2318682e+10 3.0928155e-16 1.6526181e-16 46933.453 21352737 39960880
0.15 1.2306101e+10 3.2923416e-16 1.7613542e-16 49859.258 22641687 42322077
0.15 1.2293519e+10 3.4991884e-16 1.8740201e-16 52883.448 23967079 44751561
0.15 1.2280937e+10 3.7146866e-16 1.9913695e-16 56025.432 25337818 47264986
0.15 1.2268356e+10 3.9413248e-16 2.1148222e-16 59321.885 26771052 49892332
0.15 1.2255774e+10 4.1822698e-16 2.2461888e-16 62819.365 28288490 52671485
0.15 1.2243192e+10 4.4406238e-16 2.3872411e-16 66563.069 29910897 55638722
0.15 1.2230611e+10 4.7181213e-16 2.5389591e-16 70577.359 31648725 58812497
0.15 1.2218029e+10 5.0129027e-16 2.700244e-16 74832.731 33486410 62166276
