#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.16728708 1.2696131e+10 2.5406825e-17 1.4504245e-17 4095.3705 2179274.2 3817395.5
0.16728708 1.2683549e+10 1.082191e-16 6.1041782e-17 17409.469 9126221.3 16179597
0.16728708 1.2670968e+10 1.6335984e-16 9.0439945e-17 26227.981 13454544 24302671
0.16728708 1.2658386e+10 1.9811047e-16 1.0746247e-16 31744.179 15907733 29326409
0.16728708 1.2645804e+10 2.2813118e-16 1.2143258e-16 36481.911 17886581 33602899
0.16728708 1.2633223e+10 2.5510316e-16 1.3328353e-16 40714.036 19534714 37389220
0.16728708 1.2620641e+10 2.8071096e-16 1.4408577e-16 44711.806 21012996 40937965
0.16728708 1.260806e+10 3.0196724e-16 1.5212558e-16 48001.668 22075131 43818839
0.16728708 1.2595478e+10 3.1064673e-16 1.5287058e-16 49282.882 22072776 44853861
0.16728708 1.2582896e+10 2.9540507e-16 1.4004707e-16 46771.272 20120414 42440532
0.16728708 1.2570315e+10 2.4656365e-16 1.0862844e-16 38960.216 15528664 35246791
0.16728708 1.2557733e+10 1.6811948e-16 6.1357668e-17 26511.88 8727399.7 23912999
0.16728708 1.2545151e+10 9.5864343e-17 1.9195817e-17 15087.209 2716726.5 13567394
0.16728708 1.253257e+10 8.3788546e-17 1.2430234e-17 13160.274 1750409.8 11798997
0.16728708 1.2519988e+10 1.2919448e-16 3.8172373e-17 20251.248 5348457.4 18101866
0.16728708 1.2507407e+10 1.5868936e-16 5.357708e-17 24824.605 7469218.5 22122995
0.16728708 1.2494825e+10 1.4590979e-16 4.3383406e-17 22779.531 6017752.3 20239281
0.16728708 1.2482243e+10 1.4789696e-16 3.8522922e-17 23043.293 5316700.9 20411844
0.16728708 1.2469662e+10 1.8181405e-16 4.4139631e-17 28270.715 6061245 24966668
0.16728708 1.245708e+10 2.1196267e-16 3.5001484e-17 32892.123 4782197.7 28960127
0.16728708 1.2444498e+10 2.4609935e-16 1.595778e-17 38112.31 2169298.1 33454708
0.16728708 1.2431917e+10 2.9475055e-16 2.4141932e-18 45554.452 326529.39 39866205
0.16728708 1.2419335e+10 3.2877701e-16 -7.9376585e-18 50710.528 -1068178.8 44243855
0.16728708 1.2406754e+10 3.4413284e-16 -1.1989323e-17 52971.52 -1605259.4 46076204
0.16728708 1.2394172e+10 3.5730616e-16 -1.09947e-17 54887.764 -1464639.5 47597909
0.16728708 1.238159e+10 3.7306449e-16 -1.4336602e-17 57192.197 -1900151.2 49445395
0.16728708 1.2369009e+10 3.9024039e-16 -1.8352566e-17 59703.805 -2420087.4 51459608
0.16728708 1.2356427e+10 3.9852759e-16 -1.5259334e-17 60847.707 -2001980.8 52285676
0.16728708 1.2343845e+10 3.9266111e-16 -3.8241194e-18 59829.979 -499164.4 51254270
0.16728708 1.2331264e+10 3.7774776e-16 1.4591303e-17 57440.351 1894924 49056847
0.16728708 1.2318682e+10 3.5681439e-16 3.8939204e-17 54146.559 5031159.8 46102386
0.16728708 1.2306101e+10 3.3901654e-16 6.6436176e-17 51340.703 8540173.8 43579573
0.16728708 1.2293519e+10 3.4321713e-16 8.978882e-17 51870.614 11483205 43894471
0.16728708 1.2280937e+10 3.8097965e-16 1.0382907e-16 57459.893 13211019 48475147
0.16728708 1.2268356e+10 4.4291396e-16 1.1145505e-16 66664.11 14108841 56067468
0.16728708 1.2255774e+10 5.0373619e-16 1.1966787e-16 75663.189 15070966 63440510
0.16728708 1.2243192e+10 5.4094353e-16 1.3232172e-16 81085.143 16579228 67777430
0.16728708 1.2230611e+10 5.5455922e-16 1.4539012e-16 82955.316 18123222 69127117
0.16728708 1.2218029e+10 5.6648987e-16 1.5143091e-16 84565.743 18779330 70251844
0.16728708 1.2205448e+10 5.9258602e-16 1.5060423e-16 88279.288 18580846 73110496
0.16728708 1.2192866e+10 6.2335213e-16 1.5072012e-16 92671.256 18499501 76510709
0.16728708 1.2180284e+10 6.4052851e-16 1.5387743e-16 95028.378 18789786 78214158
0.16728708 1.2167703e+10 6.4126387e-16 1.5196165e-16 94941.033 18460213 77900367
0.16728708 1.2155121e+10 6.3479573e-16 1.3973049e-16 93789.145 16886802 76716755
0.16728708 1.2142539e+10 6.2571228e-16 1.2364481e-16 92255.81 14865629 75228444
0.16728708 1.2129958e+10 6.1550443e-16 1.1244171e-16 90562.784 13448805 73618577
0.16728708 1.2117376e+10 6.1353056e-16 1.0805711e-16 90085.187 12857487 73002703
0.16728708 1.2104795e+10 6.3096397e-16 1.1089854e-16 92452.659 13127219 74688108
0.16728708 1.2092213e+10 6.6726073e-16 1.22902e-16 97567.941 14472637 78574980
0.16728708 1.2079631e+10 7.1103384e-16 1.3993787e-16 103752.28 16393189 83294907
0.16728708 1.206705e+10 7.4999117e-16 1.5175765e-16 109208.98 17685441 87402014
0.16728708 1.2054468e+10 7.7862986e-16 1.5352631e-16 113142.86 17798477 90267433
0.16728708 1.2041886e+10 8.0290995e-16 1.4999588e-16 116427.59 17298631 92597499
0.16728708 1.2029305e+10 8.3599247e-16 1.4797516e-16 120971.6 16976621 95910200
0.16728708 1.2016723e+10 8.8372379e-16 1.4985175e-16 127611.16 17102196 1.0085713e+08
0.16728708 1.2004142e+10 9.3737967e-16 1.530191e-16 135075.86 17372446 1.0642186e+08
0.16728708 1.199156e+10 9.8408966e-16 1.5362554e-16 141509.64 17350086 1.1114063e+08
0.16728708 1.1978978e+10 1.0205307e-15 1.5233153e-16 146442 17113880 1.1465282e+08
0.16728708 1.1966397e+10 1.0533227e-15 1.5427609e-16 150830.18 17241514 1.1771674e+08
0.16728708 1.1953815e+10 1.088303e-15 1.615864e-16 155511.64 17963760 1.20988e+08
0.16728708 1.1941233e+10 1.1240835e-15 1.702551e-16 160286.5 18828072 1.2430949e+08
0.16728708 1.1928652e+10 1.1576681e-15 1.7664718e-16 164727.76 19432260 1.273505e+08
0.16728708 1.191607e+10 1.1906103e-15 1.8287051e-16 169058.01 20010997 1.3028508e+08
0.16728708 1.1903489e+10 1.2248145e-15 1.9330033e-16 173547.7 21040869 1.3332187e+08
0.16728708 1.1890907e+10 1.2576067e-15 2.088322e-16 177817.62 22611645 1.361694e+08
0.16728708 1.1878325e+10 1.2870148e-15 2.270082e-16 181590.85 24449918 1.3861792e+08
0.16728708 1.1865744e+10 1.3180357e-15 2.4569813e-16 185573.99 26323064 1.4120881e+08
0.16728708 1.1853162e+10 1.3583818e-15 2.6391943e-16 190849.18 28125630 1.4476139e+08
0.16728708 1.184058e+10 1.4108252e-15 2.8047213e-16 197796.77 29731338 1.4955397e+08
0.16728708 1.1827999e+10 1.4733217e-15 2.9448146e-16 206120 31050894 1.5535088e+08
0.16728708 1.1815417e+10 1.5429934e-15 3.0662247e-16 215408.18 32159484 1.6183377e+08
0.16728708 1.1802836e+10 1.6157889e-15 3.1825909e-16 225090.58 33202622 1.685684e+08
0.16728708 1.1790254e+10 1.6853352e-15 3.3023077e-16 234278.6 34268343 1.7488875e+08
0.16728708 1.1777672e+10 1.7468648e-15 3.429782e-16 242313.85 35401660 1.8030859e+08
0.16728708 1.1765091e+10 1.801784e-15 3.5634474e-16 249398.18 36585292 1.8498602e+08
0.16728708 1.1752509e+10 1.8563312e-15 3.6898418e-16 256399.19 37680833 1.8956939e+08
0.16728708 1.1739927e+10 1.9160548e-15 3.7949221e-16 264081.97 38546923 1.9462327e+08
0.16728708 1.1727346e+10 1.981557e-15 3.8825698e-16 272524.8 39226333 2.0020043e+08
0.16728708 1.1714764e+10 2.0484008e-15 3.9699014e-16 281113.71 39893970 2.0584602e+08
0.16728708 1.1702183e+10 2.1111914e-15 4.065308e-16 289108.82 40633813 2.1101908e+08
0.16728708 1.1689601e+10 2.1686593e-15 4.1611408e-16 296340.29 41368581 2.1560039e+08
0.16728708 1.1677019e+10 2.2249349e-15 4.2483543e-16 303376.06 42008822 2.200073e+08
0.16728708 1.1664438e+10 2.286028e-15 4.3334585e-16 311034.93 42620001 2.2483316e+08
0.16728708 1.1651856e+10 2.3555735e-15 4.4398792e-16 319806.2 43431666 2.3042627e+08
0.16728708 1.1639274e+10 2.4337206e-15 4.5909462e-16 329702.72 44667488 2.3678819e+08
0.16728708 1.1626693e+10 2.5190411e-15 4.7890945e-16 340523.94 46344071 2.4376762e+08
0.16728708 1.1614111e+10 2.6104787e-15 5.0128566e-16 352121.15 48247516 2.5125218e+08
0.16728708 1.160153e+10 2.7070329e-15 5.2349023e-16 364354.42 50112332 2.5913708e+08
0.16728708 1.1588948e+10 2.8063949e-15 5.4401359e-16 376909.25 51795209 2.6719518e+08
0.16728708 1.1576366e+10 2.9056826e-15 5.6267866e-16 389397.08 53282124 2.7514983e+08
0.16728708 1.1563785e+10 3.0043084e-15 5.7983404e-16 401739.47 54608905 2.8294646e+08
0.16728708 1.1551203e+10 3.1052079e-15 5.9621059e-16 414328.8 55846448 2.9086171e+08
0.16728708 1.1538621e+10 3.2123279e-15 6.1324057e-16 427688.64 57129481 2.9926041e+08
0.16728708 1.152604e+10 3.3270045e-15 6.3245496e-16 441991.2 58598967 3.0825757e+08
0.16728708 1.1513458e+10 3.4469795e-15 6.5408234e-16 456930.64 60272769 3.1763432e+08
0.16728708 1.1500877e+10 3.568513e-15 6.7676486e-16 472007.8 62022932 3.2704068e+08
0.16728708 1.1488295e+10 3.6892104e-15 6.9914979e-16 486905.39 63724713 3.3625681e+08
0.16728708 1.1475713e+10 3.809408e-15 7.2148852e-16 501668.54 65401491 3.4531522e+08
0.16728708 1.1463132e+10 3.9316155e-15 7.4526987e-16 516627.6 67187696 3.5444367e+08
0.16728708 1.145055e+10 4.0586128e-15 7.7150002e-16 532145.41 69171544 3.6388918e+08
0.16728708 1.1437968e+10 4.1914926e-15 7.9979671e-16 548360.91 71315488 3.737429e+08
0.16728708 1.1425387e+10 4.3292315e-15 8.2914034e-16 565135.56 73526245 3.8390622e+08
0.16728708 1.1412805e+10 4.4702333e-15 8.5913039e-16 582257.37 75767138 3.942321e+08
0.16728708 1.1400224e+10 4.6142218e-15 8.9037942e-16 599687.79 78091134 4.0469244e+08
0.16728708 1.1387642e+10 4.7624738e-15 9.2384876e-16 617589.93 80580447 4.1539513e+08
0.16728708 1.137506e+10 4.9164813e-15 9.5986144e-16 636153.34 83260088 4.2646433e+08
0.16728708 1.1362479e+10 5.0769704e-15 9.9766569e-16 655466.94 86061760 4.3795533e+08
0.16728708 1.1349897e+10 5.2443349e-15 1.0359738e-15 675576.08 88872659 4.4989359e+08
0.16728708 1.1337315e+10 5.4194112e-15 1.0740149e-15 696582.51 91626527 4.6234167e+08
0.16728708 1.1324734e+10 5.6031596e-15 1.112033e-15 718602.95 94344690 4.7537111e+08
0.16728708 1.1312152e+10 5.7955013e-15 1.1507587e-15 741620.09 97089048 4.8896411e+08
0.16728708 1.1299571e+10 5.9948291e-15 1.1906073e-15 765421.54 99893684 5.0297486e+08
0.16728708 1.1286989e+10 6.1989459e-15 1.2315604e-15 789721.65 1.0275571e+08 5.1721144e+08
0.16728708 1.1274407e+10 6.4065094e-15 1.273619e-15 814345.89 1.0567394e+08 5.3155701e+08
0.16728708 1.1261826e+10 6.6175874e-15 1.3170087e-15 839300.13 1.0866568e+08 5.4601361e+08
0.16728708 1.1249244e+10 6.8331196e-15 1.3618854e-15 864700.48 1.1174216e+08 5.6065473e+08
0.16728708 1.1236662e+10 7.0542484e-15 1.408082e-15 890687.62 1.1488793e+08 5.7556874e+08
0.16728708 1.1224081e+10 7.2821594e-15 1.4552888e-15 917406.37 1.1807634e+08 5.9084543e+08
0.16728708 1.1211499e+10 7.5179859e-15 1.5034031e-15 944993.64 1.2129801e+08 6.0656833e+08
0.16728708 1.1198918e+10 7.7622614e-15 1.552627e-15 973509.87 1.2456819e+08 6.2277085e+08
0.16728708 1.1186336e+10 8.0144159e-15 1.6032991e-15 1002876.8 1.2791269e+08 6.3939751e+08
0.16728708 1.1173754e+10 8.2732112e-15 1.6557207e-15 1032933.5 1.3135374e+08 6.5634091e+08
0.16728708 1.1161173e+10 8.537981e-15 1.7100942e-15 1063591.5 1.3490528e+08 6.7354109e+08
0.16728708 1.1148591e+10 8.8095149e-15 1.7665238e-15 1094944.2 1.3857319e+08 6.9105355e+08
0.16728708 1.1136009e+10 9.0897706e-15 1.8250628e-15 1127228.9 1.423592e+08 7.0902354e+08
0.16728708 1.1123428e+10 9.3807858e-15 1.8858503e-15 1160690.7 1.4627166e+08 7.2759918e+08
0.16728708 1.1110846e+10 9.6837505e-15 1.9492323e-15 1195467.7 1.5033464e+08 7.4685974e+08
0.16728708 1.1098265e+10 9.9987782e-15 2.0156458e-15 1231564.3 1.5457859e+08 7.6679995e+08
0.16728708 1.1085683e+10 1.0325265e-14 2.0852682e-15 1268896.3 1.5901348e+08 7.8735982e+08
