#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.044479167 7.9217474e+09 1.1771898e-18 1.1467014e-18 73.873468 16293.526 16726.737
0.044479167 7.8902526e+09 7.6186283e-18 4.8752498e-18 474.30598 67906.474 106118.5
0.044479167 7.8587577e+09 2.7065931e-17 1.6233735e-17 1671.5939 221639.79 369532.17
0.044479167 7.8272629e+09 7.4068697e-17 4.3500239e-17 4537.8961 582104.59 991160.73
0.044479167 7.7957681e+09 1.6710119e-16 9.7367663e-17 10155.408 1276935.8 2191461.7
0.044479167 7.7642732e+09 3.2140821e-16 1.866311e-16 19375.753 2398544.8 4130672.8
0.044479167 7.7327784e+09 5.394239e-16 3.1269796e-16 32255.317 3937881.5 6793096.4
0.044479167 7.7012835e+09 8.0618118e-16 4.6693355e-16 47814.419 5761431.8 9947363.7
0.044479167 7.6697887e+09 1.0953642e-15 6.3416026e-16 64435.523 7666123.2 13241444
0.044479167 7.6382939e+09 1.3837801e-15 8.0101213e-16 80734.62 9485946.8 16387348
0.044479167 7.606799e+09 1.6643554e-15 9.6343526e-16 96305.248 11176145 19307034
0.044479167 7.5753042e+09 1.9474745e-15 1.1274544e-15 111756.28 12810296 22127479
0.044479167 7.5438093e+09 2.2490749e-15 1.3022962e-15 127992.74 14491824 25027485
0.044479167 7.5123145e+09 2.5767228e-15 1.492354e-15 145417.02 16262992 28079948
0.044479167 7.4808197e+09 2.9270489e-15 1.6957068e-15 163805.45 18094911 31234581
0.044479167 7.4493248e+09 3.2909584e-15 1.9071341e-15 182623.31 19926250 34384818
0.044479167 7.41783e+09 3.6538267e-15 2.1182356e-15 201048.9 21667980 37375938
0.044479167 7.3863351e+09 3.9958392e-15 2.3176278e-15 218004.79 23208577 40014080
0.044479167 7.3548403e+09 4.3103651e-15 2.5015363e-15 233163.49 24520697 42251300
0.044479167 7.3233455e+09 4.6398229e-15 2.694468e-15 248840.14 25851183 44515247
0.044479167 7.2918506e+09 5.0906656e-15 2.9578194e-15 270676.22 27772837 47799479
0.044479167 7.2603558e+09 5.7750483e-15 3.3561132e-15 304418.77 30837978 53064603
0.044479167 7.228861e+09 6.7028187e-15 3.8945193e-15 350265.38 35015715 60265200
0.044479167 7.1973661e+09 7.7599887e-15 4.5061458e-15 401983.55 39639941 68263546
0.044479167 7.1658713e+09 8.8492288e-15 5.1326932e-15 454405.34 44172308 76157067
0.044479167 7.1343764e+09 1.0026425e-14 5.8026484e-15 510338.3 48850176 84408464
0.044479167 7.1028816e+09 1.1425645e-14 6.5874315e-15 576434.4 54243632 94083483
0.044479167 7.0713868e+09 1.3087333e-14 7.5022304e-15 654425.68 60418944 1.0539837e+08
0.044479167 7.0398919e+09 1.4968905e-14 8.5132251e-15 741860.11 67047695 1.1789076e+08
0.044479167 7.0083971e+09 1.7087461e-14 9.6222844e-15 839295.6 74102262 1.3159241e+08
0.044479167 6.9769022e+09 1.9524137e-14 1.0872539e-14 950379.64 81866073 1.470093e+08
0.044479167 6.9454074e+09 2.2318306e-14 1.2289939e-14 1076605.7 90468655 1.6428944e+08
0.044479167 6.9139126e+09 2.5469502e-14 1.3884992e-14 1217497.9 99913651 1.8327348e+08
0.044479167 6.8824177e+09 2.9007113e-14 1.5690538e-14 1373999.5 1.1035773e+08 2.0401844e+08
0.044479167 6.8509229e+09 3.298094e-14 1.7751209e-14 1547965.2 1.2202058e+08 2.2670871e+08
0.044479167 6.819428e+09 3.7429961e-14 2.009992e-14 1740665.3 1.3501868e+08 2.5143105e+08
0.044479167 6.7879332e+09 4.2404651e-14 2.2767727e-14 1953838.3 1.4944013e+08 2.7833067e+08
0.044479167 6.7564384e+09 4.7980536e-14 2.5792835e-14 2190285.5 1.6540474e+08 3.0769042e+08
0.044479167 6.7249435e+09 5.423926e-14 2.9214513e-14 2452963.2 1.830213e+08 3.3979481e+08
0.044479167 6.6934487e+09 6.1263366e-14 3.3075935e-14 2744737 2.0240517e+08 3.7489558e+08
