#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.046775 7.9158732e+09 2.2257956e-19 1.7185789e-19 13.947069 2432.8952 3150.9333
0.046775 7.8844017e+09 2.2138626e-18 1.2261578e-18 137.62209 17015.703 30722.331
0.046775 7.8529303e+09 1.4148584e-17 7.9086878e-18 872.52214 107577.86 192456
0.046775 7.8214588e+09 4.7438156e-17 2.7302613e-17 2902.0395 364001.18 632450.26
0.046775 7.7899873e+09 8.5567138e-17 4.9623564e-17 5192.5478 648382.79 1118022.5
0.046775 7.7585158e+09 7.6172685e-17 4.4062284e-17 4585.1818 564183.04 975331.58
0.046775 7.7270443e+09 2.2219197e-17 1.2732523e-17 1326.6463 159750.14 278775.85
0.046775 7.6955728e+09 1.4325464e-17 8.2236891e-18 848.38034 101095.36 176105.63
0.046775 7.6641013e+09 5.4450258e-17 3.0589095e-17 3198.3237 368411.01 655791.69
0.046775 7.6326299e+09 5.8256828e-17 2.8965524e-17 3393.8703 341752.88 687349.5
0.046775 7.6011584e+09 6.4883958e-17 2.0090668e-17 3748.8399 232195.11 749887.33
0.046775 7.5696869e+09 1.086467e-16 1.8142934e-17 6225.4732 205379.4 1229888.9
0.046775 7.5382154e+09 1.4419069e-16 4.8053604e-18 8193.5915 53275.614 1598599.7
0.046775 7.5067439e+09 1.6756231e-16 4.4823092e-18 9442.338 48665.321 1819257.3
0.046775 7.4752724e+09 1.6076843e-16 2.7021038e-17 8983.6911 287274.41 1709210.9
0.046775 7.443801e+09 1.4010002e-16 5.6968115e-17 7762.9662 593014.59 1458383.5
0.046775 7.4123295e+09 1.599043e-16 7.2864141e-17 8785.5624 742586.76 1629646.8
0.046775 7.380858e+09 2.2361304e-16 7.2722613e-17 12181.782 725543.56 2230956.7
0.046775 7.3493865e+09 2.8775163e-16 8.641185e-17 15542.468 843895.19 2810172.7
0.046775 7.317915e+09 3.3069103e-16 1.2026737e-16 17709.126 1149593.8 3160959.9
0.046775 7.2864435e+09 3.7626495e-16 1.443122e-16 19976.756 1350021.9 3519910
0.046775 7.254972e+09 4.2156606e-16 1.4534729e-16 22188.969 1330593.6 3859260.9
0.046775 7.2235006e+09 4.4552309e-16 1.438492e-16 23246.932 1288563.4 3990878.9
0.046775 7.1920291e+09 4.817291e-16 1.5512993e-16 24917.573 1359604.3 4222015.5
0.046775 7.1605576e+09 5.708385e-16 1.816072e-16 29268.936 1557137.8 4894487.7
0.046775 7.1290861e+09 6.8934914e-16 2.190431e-16 35035.39 1837209.4 5781869.9
0.046775 7.0976146e+09 8.0235491e-16 2.4902837e-16 40419.538 2043010.8 6582462.1
0.046775 7.0661431e+09 9.1674332e-16 2.6584868e-16 45773.341 2133076.5 7355626.8
0.046775 7.0346716e+09 1.0551575e-15 2.9205604e-16 52216.163 2291633.3 8279349.7
0.046775 7.0032002e+09 1.2179679e-15 3.4088792e-16 59735.006 2615496.1 9344978.5
0.046775 6.9717287e+09 1.3804931e-15 4.0421146e-16 67098.868 3032290.4 10356104
0.046775 6.9402572e+09 1.5393613e-15 4.7771557e-16 74146.679 3503539.3 11289590
0.046775 6.9087857e+09 1.732978e-15 5.6185758e-16 82717.328 4028047.9 12424000
0.046775 6.8773142e+09 1.9901638e-15 6.4897793e-16 94129.673 4547618.7 13945784
0.046775 6.8458427e+09 2.3031422e-15 7.346344e-16 107938.06 5031131 15773030
0.046775 6.8143712e+09 2.6530463e-15 8.3272924e-16 123195.95 5573044.9 17755527
0.046775 6.7828998e+09 3.0268608e-15 9.5727215e-16 139258.99 6259969.2 19793802
0.046775 6.7514283e+09 3.4263733e-15 1.0995928e-15 156180.21 7025382 21891360
0.046775 6.7199568e+09 3.8730473e-15 1.24387e-15 174898.37 7763671.9 24173803
0.046775 6.6884853e+09 4.3869622e-15 1.3930724e-15 196254.42 8493219.4 26746229
0.046775 6.6570138e+09 4.9732692e-15 1.5669061e-15 220394.57 9330395.2 29614134
0.046775 6.6255423e+09 5.6439507e-15 1.7811827e-15 247757.08 10357988 32820875
0.046775 6.5940709e+09 6.4236854e-15 2.0345567e-15 279313.22 11553076 36476410
0.046775 6.5625994e+09 7.3203223e-15 2.3163421e-15 315269.52 12842274 40585364
0.046775 6.5311279e+09 8.3203843e-15 2.6236162e-15 354911.24 14200414 45034371
0.046775 6.4996564e+09 9.4244083e-15 2.9651982e-15 398139.16 15666266 49792722
0.046775 6.4681849e+09 1.0662469e-14 3.3549811e-15 446090.13 17300633 54983157
0.046775 6.4367134e+09 1.2066411e-14 3.807212e-15 499926.83 19159656 60723773
0.046775 6.4052419e+09 1.3647352e-14 4.3304517e-15 559911.61 21265259 67017137
0.046775 6.3737705e+09 1.5413742e-14 4.923293e-15 626182.48 23588349 73849906
0.046775 6.342299e+09 1.7397285e-14 5.5831336e-15 699801.54 26095844 81315775
0.046775 6.3108275e+09 1.9646375e-14 6.3174529e-15 782447.22 28802709 89572306
0.046775 6.279356e+09 2.2200131e-14 7.1406723e-15 875358.09 31752243 98716749
0.046775 6.2478845e+09 2.5077629e-14 8.0660009e-15 978931.85 34977036 1.0874548e+08
0.046775 6.216413e+09 2.8291677e-14 9.1070658e-15 1093297.7 38506812 1.1962385e+08
0.046775 6.1849415e+09 3.1870986e-14 1.0280638e-14 1219176.8 42379695 1.3138122e+08
0.046775 6.1534701e+09 3.5867924e-14 1.1600756e-14 1358145.9 46617235 1.4413401e+08
0.046775 6.1219986e+09 4.03465e-14 1.3076307e-14 1512141.1 51216630 1.5802717e+08
0.046775 6.0905271e+09 4.5369563e-14 1.4721323e-14 1682962.2 56192844 1.7318041e+08
0.046775 6.0590556e+09 5.0999218e-14 1.6564008e-14 1872291.2 61609813 1.8969155e+08
0.046775 6.0275841e+09 5.7302563e-14 1.8640252e-14 2081903.6 67550406 2.0765875e+08
0.046775 5.9961126e+09 6.4354091e-14 2.0979976e-14 2313746.2 74065109 2.2718772e+08
0.046775 5.9646412e+09 7.2235685e-14 2.3603888e-14 2569924.9 81164277 2.4838947e+08
