#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.1605 1.2702422e+10 5.6628008e-17 3.730462e-17 9137.0151 5618948.4 8529502.7
0.1605 1.2696131e+10 1.111003e-16 6.7628053e-17 17908.451 10161168 16692907
0.1605 1.268984e+10 1.429595e-16 8.5489255e-17 23021.061 12813037 21426615
0.1605 1.2683549e+10 1.6693794e-16 9.8240455e-17 26855.711 14687712 24958521
0.1605 1.2677259e+10 1.8792779e-16 1.0899931e-16 30202.417 16255873 28027058
0.1605 1.2670968e+10 2.0742155e-16 1.1868044e-16 33302.24 17655818 30857631
0.1605 1.2664677e+10 2.2599603e-16 1.2769783e-16 36248.417 18950204 33537537
0.1605 1.2658386e+10 2.4304777e-16 1.357467e-16 38944.696 20094664 35978505
0.1605 1.2652095e+10 2.5747578e-16 1.4220273e-16 41215.569 20998100 38019678
0.1605 1.2645804e+10 2.6883189e-16 1.4680716e-16 42990.621 21624164 39597966
0.1605 1.2639514e+10 2.7642582e-16 1.4917712e-16 44161.045 21918650 40615351
0.1605 1.2633223e+10 2.8013473e-16 1.4927407e-16 44709.032 21878369 41057974
0.1605 1.2626932e+10 2.8040163e-16 1.4738949e-16 44707.071 21548424 40994871
0.1605 1.2620641e+10 2.775301e-16 1.4373198e-16 44205.157 20961400 40474079
0.1605 1.261435e+10 2.7152303e-16 1.3833304e-16 43205.243 20123807 39499436
0.1605 1.260806e+10 2.6302819e-16 1.315929e-16 41811.794 19095609 38168346
0.1605 1.2601769e+10 2.5282948e-16 1.239856e-16 40150.478 17946864 36596961
0.1605 1.2595478e+10 2.3990874e-16 1.1493962e-16 38060.577 16595976 34640098
0.1605 1.2589187e+10 2.2208069e-16 1.0321152e-16 35197.043 14865394 31985933
0.1605 1.2582896e+10 1.9729086e-16 8.7645076e-17 31236.92 12591875 28344568
0.1605 1.2576606e+10 1.6460258e-16 6.774569e-17 26035.356 9708645.6 23589222
0.1605 1.2570315e+10 1.2769988e-16 4.5696653e-17 20178.217 6532432.5 18254966
0.1605 1.2564024e+10 9.7331433e-17 2.7743337e-17 15364.224 3956054.3 13878952
0.1605 1.2557733e+10 8.5970394e-17 2.1065454e-17 13557.244 2996310.7 12228268
0.1605 1.2551442e+10 9.6014099e-17 2.6937198e-17 15125.937 3821909.2 13622693
0.1605 1.2545151e+10 1.1369774e-16 3.7247935e-17 17893.845 5271588.8 16091301
