#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.1668583 1.2704519e+10 -2.1089458e-26 -6.9144277e-26 -3.4039397e-06 -0.010423345 -0.0031791886
0.1668583 1.2700325e+10 -1.0470669e-24 -6.5962038e-25 -0.00016889006 -0.09927228 -0.15758264
0.1668583 1.2696131e+10 -5.4005437e-24 -3.1246426e-24 -0.00087052305 -0.46948001 -0.81143594
0.1668583 1.2691937e+10 -1.4366786e-24 -7.1431438e-25 -0.00023142776 -0.10714915 -0.2155058
0.1668583 1.2687743e+10 8.0446803e-23 4.6388698e-23 0.012950232 6.946945 12.047321
0.1668583 1.2683549e+10 3.6365774e-22 2.091829e-22 0.058502502 31.274471 54.369661
0.1668583 1.2679355e+10 9.3753899e-22 5.4022585e-22 0.15072444 80.634525 139.93779
0.1668583 1.2675162e+10 1.8309097e-21 1.0559412e-21 0.29415344 157.35011 272.83133
0.1668583 1.2670968e+10 3.0574663e-21 1.7630092e-21 0.49088668 262.27886 454.85228
0.1668583 1.2666774e+10 4.6324628e-21 2.670425e-21 0.7432655 396.61601 688.02117
0.1668583 1.266258e+10 6.5748092e-21 3.7892159e-21 1.054211 561.84968 974.88624
0.1668583 1.2658386e+10 8.9076795e-21 5.1323956e-21 1.4273197 759.75156 1318.6091
0.1668583 1.2654192e+10 1.165668e-20 6.7146677e-21 1.8665676 992.33073 1722.6886
0.1668583 1.2649998e+10 1.4848681e-20 8.5514335e-21 2.3761224 1261.6853 2190.7862
0.1668583 1.2645804e+10 1.8512449e-20 1.0659156e-20 2.9604437 1570.0552 2726.8169
0.1668583 1.2641611e+10 2.267934e-20 1.3055696e-20 3.6243926 1919.8701 3335.0491
0.1668583 1.2637417e+10 2.7382413e-20 1.5759976e-20 4.3730892 2313.6991 4019.972
0.1668583 1.2633223e+10 3.265781e-20 1.879264e-20 5.2121316 2754.3451 4786.4952
0.1668583 1.2629029e+10 3.8545779e-20 2.2176682e-20 6.1477578 3244.9361 5640.0948
0.1668583 1.2624835e+10 4.5091177e-20 2.5937774e-20 7.1869231 3788.969 6586.8826
0.1668583 1.2620641e+10 5.2345031e-20 3.010513e-20 8.3375471 4390.4333 7633.8275
0.1668583 1.2616447e+10 6.0366657e-20 3.471276e-20 9.6088472 5053.9893 8789.0575
0.1668583 1.2612253e+10 6.9225377e-20 3.9800405e-20 11.011607 5785.0981 10062.098
