#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.1605 1.270368e+10 1.9068875e-17 1.5403997e-17 3077.4015 2321351.6 2873641.4
0.1605 1.2698647e+10 4.239285e-17 2.7818506e-17 6836.0862 4183896.1 6375873.5
0.1605 1.2693615e+10 6.465702e-17 4.0410916e-17 10418.047 6065757.3 9705144.6
0.1605 1.2688582e+10 8.5098266e-17 5.1667471e-17 13700.831 7740026.3 12748114
0.1605 1.2683549e+10 1.0383329e-16 6.1895765e-17 16703.914 9253898.5 15523885
0.1605 1.2678517e+10 1.2100996e-16 7.1147132e-17 19451.721 10615963 18056067
0.1605 1.2673484e+10 1.3663426e-16 7.9435127e-17 21945.811 11829121 20346958
0.1605 1.2668451e+10 1.5091172e-16 8.6836089e-17 24219.77 12905585 22428508
0.1605 1.2663419e+10 1.641522e-16 9.3543659e-17 26323.803 13874872 24347890
0.1605 1.2658386e+10 1.7660787e-16 9.9716156e-17 28298.716 14761041 26143368
0.1605 1.2653353e+10 1.8835261e-16 1.0539429e-16 30156.638 15570589 27826567
0.1605 1.2648321e+10 1.993183e-16 1.1056702e-16 31886.946 16302332 29388087
0.1605 1.2643288e+10 2.0955968e-16 1.1527834e-16 33498.687 16963195 30836685
0.1605 1.2638256e+10 2.1930262e-16 1.1967695e-16 35028.221 17575430 32206183
0.1605 1.2633223e+10 2.2885361e-16 1.2394658e-16 36524.651 18166242 33541952
0.1605 1.262819e+10 2.3840177e-16 1.2819853e-16 38018.213 18752034 34871837
0.1605 1.2623158e+10 2.4795203e-16 1.3243398e-16 39509.695 19332998 36196573
0.1605 1.2618125e+10 2.5761539e-16 1.367176e-16 41016.77 19918578 37532345
0.1605 1.2613092e+10 2.6775396e-16 1.4125767e-16 42597.004 20539018 38931716
0.1605 1.260806e+10 2.7866911e-16 1.4622179e-16 44298.124 21218425 40438019
0.1605 1.2603027e+10 2.9028016e-16 1.515582e-16 46107.023 21948939 42038911
0.1605 1.2597994e+10 3.0198138e-16 1.5691483e-16 47927.302 22679360 43646254
0.1605 1.2592962e+10 3.1272812e-16 1.6169164e-16 49593.265 23323126 45109304
0.1605 1.2587929e+10 3.2136658e-16 1.6523334e-16 50922.449 23786409 46262800
0.1605 1.2582896e+10 3.2710117e-16 1.6710112e-16 51789.693 24007240 46994277
0.1605 1.2577864e+10 3.2995093e-16 1.6732976e-16 52199.113 23992052 47308977
0.1605 1.2572831e+10 3.3072431e-16 1.6640135e-16 52279.603 23811241 47325074
0.1605 1.2567798e+10 3.3005011e-16 1.6467952e-16 52131.269 23517730 47134152
0.1605 1.2562766e+10 3.2710947e-16 1.6169215e-16 51625.425 23044910 46620745
0.1605 1.2557733e+10 3.1951383e-16 1.560843e-16 50386.265 22201139 45447049
0.1605 1.25527e+10 3.0501562e-16 1.4661561e-16 48061.4 20812575 43297986
0.1605 1.2547668e+10 2.8278255e-16 1.3286376e-16 44522.407 18822677 40061522
0.1605 1.2542635e+10 2.5259709e-16 1.1474732e-16 39737.992 16223564 35713471
0.1605 1.2537603e+10 2.1502794e-16 9.263644e-17 33800.559 13071160 30340808
0.1605 1.253257e+10 1.7424532e-16 6.8961998e-17 27367.895 9711141.5 24537006
0.1605 1.2527537e+10 1.3855384e-16 4.8489048e-17 21744.527 6814467.8 19471833
0.1605 1.2522505e+10 1.1633703e-16 3.5965674e-17 18243.172 5044335.6 16316753
0.1605 1.2517472e+10 1.1209237e-16 3.3854824e-17 17563.428 4738746.4 15689856
0.1605 1.2512439e+10 1.2440605e-16 4.1195732e-17 19477.152 5754689.7 17378456
0.1605 1.2507407e+10 1.4383122e-16 5.243814e-17 22500.268 7310438.1 20051611
0.1605 1.2502374e+10 1.5520391e-16 5.889428e-17 24259.823 8193988 21593590
0.1605 1.2497341e+10 1.5060852e-16 5.6227581e-17 23522.572 7807236.5 20912092
0.1605 1.2492309e+10 1.4027019e-16 5.0509505e-17 21890.254 6999168 19437423
0.1605 1.2487276e+10 1.4100324e-16 5.1278118e-17 21986.926 7091374.3 19499677
0.1605 1.2482243e+10 1.5282765e-16 5.8229445e-17 23811.525 8036476 21092348
0.1605 1.2477211e+10 1.5964341e-16 6.201816e-17 24853.412 8542130.4 21988637
0.1605 1.2472178e+10 1.5622175e-16 5.9810328e-17 24301.11 8221432.1 21473992
0.1605 1.2467145e+10 1.5566946e-16 5.9258041e-17 24195.659 8129094.9 21354938
0.1605 1.2462113e+10 1.6346169e-16 6.3429687e-17 25386.296 8683818.3 22378663
0.1605 1.245708e+10 1.6884406e-16 6.6073866e-17 26201.026 9027568.2 23068898
0.1605 1.2452047e+10 1.6870946e-16 6.5502569e-17 26158.99 8931449.5 23003984
0.1605 1.2447015e+10 1.7158103e-16 6.6685083e-17 26582.737 9074328.6 23348290
0.1605 1.2441982e+10 1.7741621e-16 6.9514148e-17 27464.547 9440192.6 24093558
0.1605 1.243695e+10 1.8046405e-16 7.0673462e-17 27913.766 9578235.2 24457937
0.1605 1.2431917e+10 1.8286549e-16 7.1460802e-17 28262.328 9665362.5 24733297
0.1605 1.2426884e+10 1.873155e-16 7.339723e-17 28926.655 9907194.9 25283940
0.1605 1.2421852e+10 1.9136126e-16 7.5034276e-17 29527.501 10107672 25777777
0.1605 1.2416819e+10 1.9463337e-16 7.6166134e-17 30008.066 10239374 26165487
0.1605 1.2411786e+10 1.9871594e-16 7.7673022e-17 30612.675 10420809 26660232
0.1605 1.2406754e+10 2.0311158e-16 7.9135942e-17 31264.464 10595570 27194761
0.1605 1.2401721e+10 2.075247e-16 8.0158623e-17 31917.855 10710748 27729328
0.1605 1.2396688e+10 2.1283552e-16 8.0886926e-17 32708.112 10786152 28381301
0.1605 1.2391656e+10 2.1944162e-16 8.0958455e-17 33695.947 10773794 29202865
0.1605 1.2386623e+10 2.2773093e-16 7.9880015e-17 34940.399 10608708 30244499
0.1605 1.238159e+10 2.3842958e-16 7.7456189e-17 36552.155 10265924 31601090
0.1605 1.2376558e+10 2.516942e-16 7.3581275e-17 38554.312 9732545.5 33291422
0.1605 1.2371525e+10 2.6690983e-16 6.8492635e-17 40851.786 9041070.3 35232263
0.1605 1.2366492e+10 2.8285141e-16 6.2938767e-17 43256.504 8291072 37260682
0.1605 1.236146e+10 2.9786078e-16 5.7854191e-17 45514.822 7605773.6 39158126
0.1605 1.2356427e+10 3.1059416e-16 5.3953871e-17 47421.917 7078593 40749062
0.1605 1.2351394e+10 3.2078611e-16 5.1369679e-17 48938.149 6725840.9 42000580
0.1605 1.2346362e+10 3.2933558e-16 4.9569648e-17 50201.495 6476951 43032187
0.1605 1.2341329e+10 3.3764362e-16 4.7778129e-17 51425.962 6230151.2 44027903
0.1605 1.2336297e+10 3.4656687e-16 4.5573803e-17 52742.006 5930605.6 45099406
0.1605 1.2331264e+10 3.558659e-16 4.3169317e-17 54112.992 5606255.8 46215122
0.1605 1.2326231e+10 3.6469339e-16 4.1129008e-17 55410.045 5330397 47264951
0.1605 1.2321199e+10 3.7258885e-16 3.976985e-17 56563.434 5143734.1 48189721
0.1605 1.2316166e+10 3.7994053e-16 3.8862324e-17 57632.398 5016100.1 49040293
0.1605 1.2311133e+10 3.8746494e-16 3.7937401e-17 58725.738 4886720.6 49909401
0.1605 1.2306101e+10 3.9537434e-16 3.6800582e-17 59875.534 4730605.9 50824201
0.1605 1.2301068e+10 4.0327552e-16 3.5641161e-17 61022.149 4572205.2 51733960
0.1605 1.2296035e+10 4.1087208e-16 3.466478e-17 62120.77 4437861.4 52600747
0.1605 1.2291003e+10 4.1846529e-16 3.3788842e-17 63217.027 4316876.7 53463303
0.1605 1.228597e+10 4.265849e-16 3.2803581e-17 64390.883 4182426.1 54389180
0.1605 1.2280937e+10 4.3532952e-16 3.1697626e-17 65657.018 4033147.4 55390524
0.1605 1.2275905e+10 4.4432941e-16 3.0653333e-17 66959.481 3892288.5 56419909
0.1605 1.2270872e+10 4.5323858e-16 2.9777757e-17 68246.082 3773365.7 57433302
0.1605 1.2265839e+10 4.6195098e-16 2.9047733e-17 69500.902 3673316.9 58417375
0.1605 1.2260807e+10 4.7032472e-16 2.8544674e-17 70702.684 3602301.8 59354387
0.1605 1.2255774e+10 4.7798865e-16 2.8554539e-17 71795.807 3596157.2 60197867
0.1605 1.2250741e+10 4.8454276e-16 2.9351338e-17 72720.5 3688922.7 60898102
0.1605 1.2245709e+10 4.8979062e-16 3.1002494e-17 73447.721 3888445.7 61431325
0.1605 1.2240676e+10 4.9371529e-16 3.3456797e-17 73975.413 4187657.7 61796432
