#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.16575571 1.2704519e+10 1.0402084e-22 5.0102482e-23 0.016789463 7.552837 15.680909
0.16575571 1.2700325e+10 4.4417907e-22 2.4505927e-22 0.071645307 36.881202 66.848554
0.16575571 1.2696131e+10 1.0929189e-21 6.1665843e-22 0.1761695 92.653414 164.21192
0.16575571 1.2691937e+10 2.1205745e-21 1.2046915e-21 0.34159331 180.70708 318.09209
0.16575571 1.2687743e+10 3.5877939e-21 2.0429836e-21 0.57755887 305.94725 537.29052
0.16575571 1.2683549e+10 5.5495124e-21 3.1621756e-21 0.89276351 472.76986 829.69528
0.16575571 1.2679355e+10 8.0551308e-21 4.5896969e-21 1.2949916 685.06167 1202.315
0.16575571 1.2675162e+10 1.1149094e-20 6.3500595e-21 1.7912103 946.24828 1661.3719
0.16575571 1.2670968e+10 1.4871533e-20 8.4652593e-21 2.3876755 1259.3573 2212.404
0.16575571 1.2666774e+10 1.9260904e-20 1.09563e-20 3.0903573 1627.2481 2860.6619
0.16575571 1.266258e+10 2.4357123e-20 1.3844995e-20 3.9054439 2052.8801 3611.5762
0.16575571 1.2658386e+10 3.0204078e-20 1.71554e-20 4.8397425 2539.5239 4471.1275
0.16575571 1.2654192e+10 3.685192e-20 2.0915121e-20 5.9010457 3090.9523 5446.1806
0.16575571 1.2649998e+10 4.4358912e-20 2.5156362e-20 7.0984222 3711.5896 6544.7492
0.16575571 1.2645804e+10 5.2792909e-20 2.9916745e-20 8.4424504 4406.6284 7776.2047
0.16575571 1.2641611e+10 6.2233196e-20 3.5240357e-20 9.9455068 5182.1756 9151.5346
0.16575571 1.2637417e+10 7.2773242e-20 4.1179308e-20 11.6222 6045.474 10683.733
0.16575571 1.2633223e+10 8.4525285e-20 4.7796334e-20 13.490093 7005.2745 12388.457
0.16575571 1.2629029e+10 9.7626998e-20 5.5168596e-20 15.570762 8072.3783 14284.976
0.16575571 1.2624835e+10 1.1224803e-19 6.3391376e-20 17.890816 9260.1608 16397.101
0.16575571 1.2620641e+10 1.2859115e-19 7.2578672e-20 20.482074 10584.635 18753.312
0.16575571 1.2616447e+10 1.4688651e-19 8.2859827e-20 23.380623 12063.941 21385.879
0.16575571 1.2612253e+10 1.6741576e-19 9.439339e-20 26.630648 13720.338 24334.34
0.16575571 1.260806e+10 1.9069969e-19 1.0747513e-19 30.314227 15595.849 27672.668
0.16575571 1.2603866e+10 2.1802992e-19 1.228434e-19 34.635673 17796.33 31586.006
0.16575571 1.2599672e+10 2.5221822e-19 1.4210783e-19 40.040079 20552.941 36478.116
0.16575571 1.2595478e+10 2.9771755e-19 1.6781385e-19 47.231718 24230.415 42987.034
0.16575571 1.2591284e+10 3.5905536e-19 2.0253621e-19 56.924794 29195.276 51757.264
0.16575571 1.258709e+10 4.3809468e-19 2.4730529e-19 69.40946 35589.338 63045.556
0.16575571 1.2582896e+10 5.3299786e-19 3.0102366e-19 84.389168 43247.748 76575.236
0.16575571 1.2578702e+10 6.4107236e-19 3.6211677e-19 101.43288 51938.289 91948.798
0.16575571 1.2574509e+10 7.6291438e-19 4.3091437e-19 120.6307 61702.941 109242.26
0.16575571 1.2570315e+10 9.026633e-19 5.0977849e-19 142.63237 72873.905 129037.61
0.16575571 1.2566121e+10 1.0640075e-18 6.0079401e-19 168.01465 85741.591 151848.54
0.16575571 1.2561927e+10 1.2475032e-18 7.0423601e-19 196.85851 100336.59 177739.01
0.16575571 1.2557733e+10 1.4523484e-18 8.1960537e-19 229.0305 116579.13 206579.32
0.16575571 1.2553539e+10 1.679052e-18 9.4716422e-19 264.60407 134498.05 238426.68
0.16575571 1.2549345e+10 1.9293436e-18 1.0878739e-18 303.84475 154221.06 273510.95
0.16575571 1.2545151e+10 2.204778e-18 1.24259e-18 346.98978 175860.04 312035.63
0.16575571 1.2540958e+10 2.5065262e-18 1.4119454e-18 394.21545 199494.62 354148.59
0.16575571 1.2536764e+10 2.8358816e-18 1.5966431e-18 445.71677 225213.72 400013.89
0.16575571 1.253257e+10 3.1942849e-18 1.7974686e-18 501.71134 253117.26 449815.17
0.16575571 1.2528376e+10 3.5831009e-18 2.0151612e-18 562.40425 283297.96 503724.07
0.16575571 1.2524182e+10 4.0036026e-18 2.250406e-18 627.98564 315840.29 561898.17
