#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.16675621 1.2706196e+10 6.5989578e-21 3.5242694e-21 1.0653847 531.62658 995.43506
0.16675621 1.270368e+10 2.3583488e-19 1.2971338e-19 38.059855 19547.548 35539.846
0.16675621 1.2701164e+10 2.2138778e-18 1.2482038e-18 357.14178 187915.61 333296.67
0.16675621 1.2698647e+10 8.6397817e-18 4.9489416e-18 1393.2136 744319.53 1299420.9
0.16675621 1.2696131e+10 1.8550198e-17 1.0662152e-17 2990.1387 1601996.7 2787181.8
0.16675621 1.2693615e+10 2.922532e-17 1.6742267e-17 4709.0131 2513046.9 4386777.5
0.16675621 1.2691098e+10 4.0907947e-17 2.3393314e-17 6588.7966 3507903 6134278.8
0.16675621 1.2688582e+10 5.2609266e-17 3.0007388e-17 8470.0978 4495245.6 7881111.5
0.16675621 1.2686066e+10 6.3863236e-17 3.6318156e-17 10277.911 5435235.3 9557525.8
0.16675621 1.2683549e+10 7.4691785e-17 4.2349811e-17 12015.849 6331626.3 11167003
0.16675621 1.2681033e+10 8.4944546e-17 4.8005007e-17 13659.813 7170005.5 12687278
0.16675621 1.2678517e+10 9.4755611e-17 5.3372045e-17 15231.47 7963717.7 14138618
0.16675621 1.2676e+10 1.0414508e-16 5.8459327e-17 16734.135 8714145.6 15524219
0.16675621 1.2673484e+10 1.1315113e-16 6.3293981e-17 18174.017 9425454.6 16849956
0.16675621 1.2670968e+10 1.2175757e-16 6.7867696e-17 19548.595 10096522 18113596
0.16675621 1.2668451e+10 1.2995017e-16 7.2175846e-17 20855.658 10726779 19313201
0.16675621 1.2665935e+10 1.377215e-16 7.6217152e-17 22094.097 11316152 20447857
0.16675621 1.2663419e+10 1.450794e-16 7.9999535e-17 23265.249 11865938 21518916
0.16675621 1.2660902e+10 1.5204804e-16 8.3539919e-17 24373.065 12378760 22530141
0.16675621 1.2658386e+10 1.5867193e-16 8.686673e-17 25424.755 12858933 23488299
0.16675621 1.265587e+10 1.6501096e-16 9.0016779e-17 26429.977 13311998 24402401
0.16675621 1.2653353e+10 1.7112207e-16 9.3024792e-17 27397.902 13743163 25280986
0.16675621 1.2650837e+10 1.7703936e-16 9.5911804e-17 28334.031 14155596 26129190
0.16675621 1.2648321e+10 1.8276712e-16 9.8681194e-17 29239.087 14549851 26947731
0.16675621 1.2645804e+10 1.8830353e-16 1.0133264e-16 30112.818 14925932 27736430
0.16675621 1.2643288e+10 1.9366434e-16 1.0387619e-16 30957.774 15285371 28497687
0.16675621 1.2640772e+10 1.9885661e-16 1.0631675e-16 31775.121 15628936 29232622
0.16675621 1.2638256e+10 2.0386562e-16 1.0864587e-16 32562.538 15955436 29939147
