#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.15 1.2696131e+10 1.970433e-14 -5.9397811e-18 3176175.2 -892456.78 2.960591e+09
0.15 1.2683549e+10 4.0186251e-14 -1.0136511e-17 6464859.6 -1515487.3 6.0081572e+09
0.15 1.2670968e+10 6.1475592e-14 -1.2545736e-17 9870116.8 -1866400.5 9.1455836e+09
0.15 1.2658386e+10 8.360329e-14 -1.3121554e-17 13396151 -1942391.4 1.2375844e+10
0.15 1.2645804e+10 1.0660143e-13 -1.1816572e-17 17047314 -1740538.4 1.5702006e+10
0.15 1.2633223e+10 1.3050329e-13 -8.5818636e-18 20828106 -1257801.7 1.9127228e+10
0.15 1.2620641e+10 1.5534339e-13 -3.3669177e-18 24743185 -491020.23 2.265477e+10
0.15 1.260806e+10 1.811575e-13 3.8804046e-18 28797369 563090.31 2.6287989e+10
0.15 1.2595478e+10 2.0798274e-13 1.3213921e-17 32995643 1907940.2 3.0030346e+10
0.15 1.2582896e+10 2.3585759e-13 2.4689178e-17 37343162 3547067.9 3.3885409e+10
0.15 1.2570315e+10 2.6482195e-13 3.8363502e-17 41845261 5484143.1 3.7856854e+10
0.15 1.2557733e+10 2.949172e-13 5.4296052e-17 46507457 7722968.7 4.1948469e+10
0.15 1.2545151e+10 3.2618622e-13 7.2547877e-17 51335456 10267484 4.6164159e+10
0.15 1.253257e+10 3.5867348e-13 9.3181965e-17 56335160 13121767 5.0507947e+10
0.15 1.2519988e+10 3.9242509e-13 1.1626331e-16 61512674 16290037 5.4983976e+10
0.15 1.2507407e+10 4.2748883e-13 1.4185896e-16 66874309 19776657 5.9596519e+10
0.15 1.2494825e+10 4.6391425e-13 1.7003808e-16 72426595 23586139 6.4349975e+10
0.15 1.2482243e+10 5.017527e-13 2.0087203e-16 78176282 27723143 6.9248876e+10
0.15 1.2469662e+10 5.4105742e-13 2.3443439e-16 84130351 32192482 7.4297892e+10
0.15 1.245708e+10 5.8188356e-13 2.7080108e-16 90296018 36999125 7.9501834e+10
0.15 1.2444498e+10 6.2428831e-13 3.1005035e-16 96680748 42148197 8.4865657e+10
0.15 1.2431917e+10 6.6833094e-13 3.5226294e-16 1.0329226e+08 47644988 9.0394463e+10
