#x  v  f0  f1x  f0*v^2  0.5*me*f1x*v^5 0.5*me*f0*v^5
0.022756076 7.861796e+09 1.1251141e-20 -2.4717195e-21 0.69540871 -33.811764 153.90943
0.022756076 7.8579025e+09 1.8890781e-20 -1.6997495e-21 1.1664421 -23.19412 257.77624
0.022756076 7.854009e+09 2.5940869e-20 8.4168984e-22 1.6001744 11.456945 353.10289
0.022756076 7.8501155e+09 3.3854141e-20 4.6401224e-21 2.0862382 63.004192 459.67598
0.022756076 7.846222e+09 4.3418293e-20 9.6316673e-21 2.672969 130.45604 588.07874
0.022756076 7.8423285e+09 5.5192446e-20 1.5959227e-20 3.3944522 215.62383 745.70071
0.022756076 7.8384349e+09 6.970282e-20 2.3871057e-20 4.2826153 321.72011 939.41376
0.022756076 7.8345414e+09 8.7526647e-20 3.3685322e-20 5.3723891 452.86462 1176.706
0.022756076 7.8306479e+09 1.0932987e-19 4.5782748e-20 6.7040033 613.9742 1466.1793
0.022756076 7.8267544e+09 1.3588857e-19 6.0610189e-20 8.3242735 810.80038 1817.8215
0.022756076 7.8228609e+09 1.681057e-19 7.868815e-20 10.28759 1050.019 2243.2116
0.022756076 7.8189674e+09 2.0702789e-19 1.0062005e-19 12.656909 1339.3414 2755.7235
0.022756076 7.8150738e+09 2.5386155e-19 1.2710129e-19 15.504691 1687.622 3370.7158
0.022756076 7.8111803e+09 3.0999441e-19 1.5893219e-19 18.914166 2105.0138 4105.7922
0.022756076 7.8072868e+09 3.7701535e-19 1.970287e-19 22.980491 2603.0946 4981.0337
0.022756076 7.8033933e+09 4.5673218e-19 2.4243314e-19 27.811769 3194.9881 6019.2014
0.022756076 7.7994998e+09 5.5119566e-19 2.9632801e-19 33.530443 3895.5271 7246.0165
0.022756076 7.7956063e+09 6.6272434e-19 3.6005019e-19 40.274737 4721.4164 8690.4483
0.022756076 7.7917128e+09 7.939277e-19 4.3510429e-19 48.199976 5691.3829 10384.974
0.022756076 7.7878192e+09 9.4772917e-19 5.2317586e-19 57.479896 6826.3223 12365.832
0.022756076 7.7839257e+09 1.1273911e-18 6.26146e-19 68.308061 8149.4595 14673.299
0.022756076 7.7800322e+09 1.33654e-18 7.4610571e-19 80.899295 9686.5052 17351.966
0.022756076 7.7761387e+09 1.5791912e-18 8.8537017e-19 95.491059 11465.808 20450.997
0.022756076 7.7722452e+09 1.8597736e-18 1.0464928e-18 112.34482 13518.499 24024.387
0.022756076 7.7683517e+09 2.1831549e-18 1.2322805e-18 131.74748 15878.656 28131.229
0.022756076 7.7644581e+09 2.5546583e-18 1.4458018e-18 154.0122 18583.363 32835.857
0.022756076 7.7605646e+09 2.9800797e-18 1.6903983e-18 179.47936 21672.82 38207.996
0.022756076 7.7566711e+09 3.4657179e-18 1.9697017e-18 208.5182 25190.519 44323.074
0.022756076 7.7527776e+09 4.0183909e-18 2.2876422e-18 241.52764 29183.307 51262.359
0.022756076 7.7488841e+09 4.6454403e-18 2.6484521e-18 278.93641 33701.383 59112.928
0.022756076 7.7449906e+09 5.3547392e-18 3.0566697e-18 321.20338 38798.304 67967.699
0.022756076 7.741097e+09 6.1547114e-18 3.517151e-18 368.81851 44531.092 77925.577
