# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
77088854 7.0891156e-14 -1.510047e-17 421.28427 -1.8724413e-05
77072380 1.4255905e-13 -2.8880244e-17 846.82241 -3.5772928e-05
77055895 2.1501255e-13 -4.1327575e-17 1276.6609 -5.1136271e-05
77039400 2.8826062e-13 -5.2430591e-17 1710.8467 -6.4805071e-05
77022894 3.6231232e-13 -6.2177292e-17 2149.4273 -7.6769861e-05
77006378 4.3717685e-13 -7.0555551e-17 2592.4509 -8.7021074e-05
76989851 5.1286348e-13 -7.7553108e-17 3039.966 -9.5549049e-05
76973313 5.8938163e-13 -8.3157573e-17 3492.0219 -0.00010234402
76956764 6.667408e-13 -8.7356424e-17 3948.6681 -0.00010739613
76940205 7.4495063e-13 -9.0137003e-17 4409.9551 -0.00011069541
76923636 8.2402084e-13 -9.1486516e-17 4875.9338 -0.00011223179
76907055 9.039613e-13 -9.1392031e-17 5346.6555 -0.0001119951
76890464 9.8478198e-13 -8.9840478e-17 5822.1723 -0.00010997507
76873862 1.066493e-12 -8.6818647e-17 6302.5369 -0.00010616131
76857249 1.1491045e-12 -8.2313183e-17 6787.8025 -0.00010054335
76840626 1.2326269e-12 -7.6310589e-17 7278.023 -9.3110582e-05
76823991 1.3170706e-12 -6.8797222e-17 7773.2527 -8.3852306e-05
76807346 1.4024462e-12 -5.9759292e-17 8273.547 -7.2757709e-05
76790690 1.4887645e-12 -4.9182859e-17 8778.9613 -5.9815867e-05
76774023 1.5760362e-12 -3.7053834e-17 9289.5522 -4.5015744e-05
76757346 1.6642723e-12 -2.3357975e-17 9805.3766 -2.8346191e-05
76740657 1.7534839e-12 -8.080887e-18 10326.492 -9.795946e-06
76723958 1.8436824e-12 8.7919822e-18 10852.957 1.064637e-05
76707248 1.9348789e-12 2.7275341e-17 11384.831 3.2992252e-05
76690526 2.0270851e-12 4.7384057e-17 11922.173 5.7253311e-05
76673794 2.1203126e-12 6.9133159e-17 12465.043 8.3441279e-05
76657051 2.2145731e-12 9.2537839e-17 13013.503 0.00011156801
76640297 2.3098786e-12 1.1761345e-16 13567.615 0.00014164546
76623532 2.4062411e-12 1.4437553e-16 14127.44 0.00017368575
76606756 2.5036729e-12 1.7283975e-16 14693.043 0.00020770108
76589969 2.6021864e-12 2.0302198e-16 15264.486 0.00024370379
76573170 2.701794e-12 2.3493826e-16 15841.835 0.00028170637
76556361 2.8025083e-12 2.6860478e-16 16425.155 0.00032172139
76539541 2.9043423e-12 3.0403795e-16 17014.512 0.00036376159
76522709 3.0073088e-12 3.4125432e-16 17609.974 0.00040783982
76505867 3.1114211e-12 3.8027062e-16 18211.607 0.00045396907
76489013 3.2166923e-12 4.211038e-16 18819.481 0.00050216245
76472149 3.3231359e-12 4.6377095e-16 19433.664 0.00055243321
76455273 3.4307655e-12 5.0828937e-16 20054.227 0.00060479475
76438386 3.5395949e-12 5.5467655e-16 20681.24 0.00065926058
76421487 3.6496381e-12 6.0295016e-16 21314.776 0.00071584437
76404578 3.7609091e-12 6.5312806e-16 21954.906 0.00077455992
76387657 3.8734221e-12 7.0522833e-16 22601.705 0.00083542117
76370725 3.9871917e-12 7.5926922e-16 23255.246 0.00089844219
