# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
71964963 4.4337841e-11 5.0508616e-18 229623.72 4.4404889e-06
66824609 8.7119611e-10 8.5769566e-17 3890350.9 5.2056518e-05
61684254 1.324842e-08 9.5176861e-16 50409541 0.00038713528
56543900 1.6183657e-07 8.073907e-15 5.1742594e+08 0.0021255548
51403545 1.5908374e-06 5.2633859e-14 4.2035085e+09 0.0086038009
46263191 1.2584152e-05 2.6111365e-13 2.6933645e+10 0.025203872
41122836 8.0100255e-05 9.7019136e-13 1.3545655e+11 0.051967579
35982482 0.00041021626 2.6328904e-12 5.3112299e+11 0.072334939
30842127 0.0016901198 4.9978176e-12 1.6077042e+12 0.063527504
25701773 0.0056015165 6.0861996e-12 3.700256e+12 0.031090045
20561418 0.01493269 3.7593459e-12 6.3131218e+12 0.0062927052
15421064 0.032016962 2.5075727e-14 7.6139281e+12 9.9605873e-06
10280709 0.05520815 1.2059704e-13 5.8351139e+12 6.3082916e-06
5140354.5 0.076557172 1.420186e-11 2.0228889e+12 2.321509e-05
